brewery_id,name,type,abv,ibu,rating,rating_count
46,Hamilton,Pale Ale - American,5.0,,3.57,1137
46,Haulin' Oats,Brown Ale - Other,5.2,,3.67,756
46,Golden Age,Pilsner - German,4.5,36.0,3.62,600
47,Sweep The Leg - Peanut Butter Stout,Stout - American,8.0,,3.72,10444
47,IPA,IPA - American,7.0,75.0,3.59,7248
47,Hijack,Cream Ale,5.5,20.0,3.41,5268
47,Sex A Peel,Hefeweizen,6.1,22.0,3.57,2682
47,Pumpkin Massacre,Pumpkin / Yam Beer,7.5,15.0,3.57,2328
48,Black Metal Farmhouse Imperial Stout,Stout - Russian Imperial,10.8,,3.92,20178
48,Le Petit Prince ,Table Beer,2.9,30.0,3.5,16867
48,Noble King,Farmhouse Ale - Saison,5.9,,3.81,16057
48,Das Wunderkind!,Farmhouse Ale - Saison,4.5,,3.85,13984
48,Wytchmaker Farmhouse Rye IPA,IPA - Farmhouse,6.0,71.0,3.86,12734
49,Citra SMaSH IPA,IPA - American,7.4,60.0,3.82,4922
49,Coffee Porter,Porter - Coffee,6.3,30.0,3.84,2766
49,Simcoe Pale Ale,Pale Ale - American,5.4,34.0,3.61,2004
49,Fuzzieluscious,IPA - American,6.4,40.0,3.78,1292
49,Belgian Pale Ale (BPA),Pale Ale - Belgian,9.7,49.0,3.61,1270
50,Meta Modern Session IPA,IPA - Session / India Session Ale,4.5,45.0,3.69,18607
50,Slow Ride,Pale Ale - American,4.8,32.0,3.55,9616
50,London Homesick Ale,English Bitter,4.9,27.0,3.45,9286
50,Luchesa Lager,Kellerbier / Zwickelbier,4.8,35.0,3.36,7739
50,ProtoModern IPA,IPA - American,7.1,75.0,3.73,3073
51,Panzer IPA,IPA - American,,,3.59,16
51,Fat Bottom Blonde,Blonde Ale,,,3.43,10
51,Hill Country Hefeweizen,Hefeweizen,,,,8
51,Route Irish Red,Red Ale - Irish,,,,4
51,All American Pilsner,Porter - American,,,,3
52,Funky Monkey IPA,IPA - American,7.7,54.0,3.75,660
52,Moxey Monkey,IPA - New England,5.5,54.0,3.72,499
52,Monkey Wrench Session IPA,IPA - Session / India Session Ale,5.5,54.0,3.55,452
52,Monkey Tail,Pale Ale - American,5.6,41.0,3.52,418
52,Punk Monkey Porter,Porter - American,5.6,30.0,3.65,413
53,Chupahopra,IPA - American,6.3,52.0,3.54,11068
53,WHOA-MANGO,IPA - American,5.8,46.0,3.58,4962
53,Austin Lager,Lager - Helles,5.2,19.0,3.36,4474
53,Gulf Kölsch,Kölsch,5.1,20.0,3.52,3475
53,Pitmaster Pilsner,Pilsner - Other,4.2,16.0,3.41,1903
54,Dark Skies,Schwarzbier,4.9,,3.81,1111
54,Le Saison,Farmhouse Ale - Saison,6.6,,3.69,760
54,Adair,Kölsch,4.5,,3.63,527
54,Destination,IPA - American,6.5,45.0,3.62,532
54,Seeking Sakura,Brett Beer,6.3,,3.78,307
